file,plot.UID,plot_nr,timestamp,spike_count,volume_mean,volume_sum
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340100_FIP2_20230605_120246/FPWW0340100_FIP2_20230605_120246_filtered_results.csv,FPWW0340,100,2023-06-05,50,3392.18,169609
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340324_FIP2_20230605_122639/FPWW0340324_FIP2_20230605_122639_filtered_results.csv,FPWW0340,324,2023-06-05,48,3043.8541666666665,146105
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340146_FIP2_20230605_121023/FPWW0340146_FIP2_20230605_121023_filtered_results.csv,FPWW0340,146,2023-06-05,60,2681.8,160908
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340256_FIP2_20230605_122210/FPWW0340256_FIP2_20230605_122210_filtered_results.csv,FPWW0340,256,2023-06-05,73,2970.986301369863,216882
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340318_FIP2_20230605_122720/FPWW0340318_FIP2_20230605_122720_filtered_results.csv,FPWW0340,318,2023-06-05,47,2606.5106382978724,122506
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340412_FIP2_20230605_123659/FPWW0340412_FIP2_20230605_123659_filtered_results.csv,FPWW0340,412,2023-06-05,55,2988.4545454545455,164365
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340375_FIP2_20230605_123301/FPWW0340375_FIP2_20230605_123301_filtered_results.csv,FPWW0340,375,2023-06-05,42,3642.9761904761904,153005
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340096_FIP2_20230605_120312/FPWW0340096_FIP2_20230605_120312_filtered_results.csv,FPWW0340,096,2023-06-05,35,2400.3714285714286,84013
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340192_FIP2_20230605_121315/FPWW0340192_FIP2_20230605_121315_filtered_results.csv,FPWW0340,192,2023-06-05,49,3268.387755102041,160151
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340200_FIP2_20230605_121619/FPWW0340200_FIP2_20230605_121619_filtered_results.csv,FPWW0340,200,2023-06-05,59,3084.271186440678,181972
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340206_FIP2_20230605_121541/FPWW0340206_FIP2_20230605_121541_filtered_results.csv,FPWW0340,206,2023-06-05,39,2281.2820512820513,88970
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340164_FIP2_20230605_121222/FPWW0340164_FIP2_20230605_121222_filtered_results.csv,FPWW0340,164,2023-06-05,57,3076.035087719298,175334
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340185_FIP2_20230605_121401/FPWW0340185_FIP2_20230605_121401_filtered_results.csv,FPWW0340,185,2023-06-05,56,3214.535714285714,180014
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340214_FIP2_20230605_121447/FPWW0340214_FIP2_20230605_121447_filtered_results.csv,FPWW0340,214,2023-06-05,36,2169.527777777778,78103
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340287_FIP2_20230605_122242/FPWW0340287_FIP2_20230605_122242_filtered_results.csv,FPWW0340,287,2023-06-05,58,2714.9827586206898,157469
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340121_FIP2_20230605_120442/FPWW0340121_FIP2_20230605_120442_filtered_results.csv,FPWW0340,121,2023-06-05,43,3530.860465116279,151827
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340345_FIP2_20230605_123222/FPWW0340345_FIP2_20230605_123222_filtered_results.csv,FPWW0340,345,2023-06-05,48,3302.8958333333335,158539
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340124_FIP2_20230605_120405/FPWW0340124_FIP2_20230605_120405_filtered_results.csv,FPWW0340,124,2023-06-05,41,3823.390243902439,156759
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340088_FIP2_20230605_120003/FPWW0340088_FIP2_20230605_120003_filtered_results.csv,FPWW0340,088,2023-06-05,63,2155.253968253968,135781
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340282_FIP2_20230605_122318/FPWW0340282_FIP2_20230605_122318_filtered_results.csv,FPWW0340,282,2023-06-05,51,3032.078431372549,154636
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340268_FIP2_20230605_122052/FPWW0340268_FIP2_20230605_122052_filtered_results.csv,FPWW0340,268,2023-06-05,57,3033.3859649122805,172903
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340098_FIP2_20230605_120258/FPWW0340098_FIP2_20230605_120258_filtered_results.csv,FPWW0340,098,2023-06-05,38,2371.6052631578946,90121
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340217_FIP2_20230605_121831/FPWW0340217_FIP2_20230605_121831_filtered_results.csv,FPWW0340,217,2023-06-05,13,2128.0,27664
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340055_FIP2_20230605_115944/FPWW0340055_FIP2_20230605_115944_filtered_results.csv,FPWW0340,055,2023-06-05,43,3122.3488372093025,134261
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340352_FIP2_20230605_123135/FPWW0340352_FIP2_20230605_123135_filtered_results.csv,FPWW0340,352,2023-06-05,43,4233.418604651163,182037
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340054_FIP2_20230605_115543/FPWW0340054_FIP2_20230605_115543_filtered_results.csv,FPWW0340,054,2023-06-05,43,2755.5813953488373,118490
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340103_FIP2_20230605_120224/FPWW0340103_FIP2_20230605_120224_filtered_results.csv,FPWW0340,103,2023-06-05,48,2923.3333333333335,140320
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340043_FIP2_20230605_115658/FPWW0340043_FIP2_20230605_115658_filtered_results.csv,FPWW0340,043,2023-06-05,39,2709.7179487179487,105679
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340267_FIP2_20230605_122058/FPWW0340267_FIP2_20230605_122058_filtered_results.csv,FPWW0340,267,2023-06-05,46,3598.413043478261,165527
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340156_FIP2_20230605_120854/FPWW0340156_FIP2_20230605_120854_filtered_results.csv,FPWW0340,156,2023-06-05,38,2347.657894736842,89211
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340272_FIP2_20230605_122425/FPWW0340272_FIP2_20230605_122425_filtered_results.csv,FPWW0340,272,2023-06-05,38,3050.9736842105262,115937
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340077_FIP2_20230605_120118/FPWW0340077_FIP2_20230605_120118_filtered_results.csv,FPWW0340,077,2023-06-05,36,4050.1111111111113,145804
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340226_FIP2_20230605_121729/FPWW0340226_FIP2_20230605_121729_filtered_results.csv,FPWW0340,226,2023-06-05,70,3071.342857142857,214994
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340051_FIP2_20230605_115602/FPWW0340051_FIP2_20230605_115602_filtered_results.csv,FPWW0340,051,2023-06-05,47,2617.808510638298,123037
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340081_FIP2_20230605_120050/FPWW0340081_FIP2_20230605_120050_filtered_results.csv,FPWW0340,081,2023-06-05,63,3379.3650793650795,212900
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340426_FIP2_20230605_124000/FPWW0340426_FIP2_20230605_124000_filtered_results.csv,FPWW0340,426,2023-06-05,26,3786.4615384615386,98448
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340068_FIP2_20230605_115809/FPWW0340068_FIP2_20230605_115809_filtered_results.csv,FPWW0340,068,2023-06-05,62,3196.6290322580644,198191
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340279_FIP2_20230605_122337/FPWW0340279_FIP2_20230605_122337_filtered_results.csv,FPWW0340,279,2023-06-05,51,2659.7843137254904,135649
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340423_FIP2_20230605_123941/FPWW0340423_FIP2_20230605_123941_filtered_results.csv,FPWW0340,423,2023-06-05,10,3020.6,30206
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340047_FIP2_20230605_115629/FPWW0340047_FIP2_20230605_115629_filtered_results.csv,FPWW0340,047,2023-06-05,24,2316.7916666666665,55603
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340304_FIP2_20230605_122452/FPWW0340304_FIP2_20230605_122452_filtered_results.csv,FPWW0340,304,2023-06-05,61,2783.344262295082,169784
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340326_FIP2_20230605_123029/FPWW0340326_FIP2_20230605_123029_filtered_results.csv,FPWW0340,326,2023-06-05,61,2392.44262295082,145939
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340144_FIP2_20230605_120610/FPWW0340144_FIP2_20230605_120610_filtered_results.csv,FPWW0340,144,2023-06-05,55,3956.8545454545456,217627
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340359_FIP2_20230605_123047/FPWW0340359_FIP2_20230605_123047_filtered_results.csv,FPWW0340,359,2023-06-05,58,2967.4655172413795,172113
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340238_FIP2_20230605_122013/FPWW0340238_FIP2_20230605_122013_filtered_results.csv,FPWW0340,238,2023-06-05,49,2933.061224489796,143720
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340241_FIP2_20230605_121952/FPWW0340241_FIP2_20230605_121952_filtered_results.csv,FPWW0340,241,2023-06-05,57,3032.2280701754385,172837
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340059_FIP2_20230605_115913/FPWW0340059_FIP2_20230605_115913_filtered_results.csv,FPWW0340,059,2023-06-05,40,3173.95,126958
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340182_FIP2_20230605_121421/FPWW0340182_FIP2_20230605_121421_filtered_results.csv,FPWW0340,182,2023-06-05,46,2988.782608695652,137484
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340071_FIP2_20230605_115749/FPWW0340071_FIP2_20230605_115749_filtered_results.csv,FPWW0340,071,2023-06-05,46,2595.4347826086955,119390
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340401_FIP2_20230605_123811/FPWW0340401_FIP2_20230605_123811_filtered_results.csv,FPWW0340,401,2023-06-05,42,3311.190476190476,139070
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340381_FIP2_20230605_123626/FPWW0340381_FIP2_20230605_123626_filtered_results.csv,FPWW0340,381,2023-06-05,48,2081.4583333333335,99910
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340288_FIP2_20230605_122235/FPWW0340288_FIP2_20230605_122235_filtered_results.csv,FPWW0340,288,2023-06-05,44,2373.840909090909,104449
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340150_FIP2_20230605_120947/FPWW0340150_FIP2_20230605_120947_filtered_results.csv,FPWW0340,150,2023-06-05,24,2921.2083333333335,70109
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340290_FIP2_20230605_122627/FPWW0340290_FIP2_20230605_122627_filtered_results.csv,FPWW0340,290,2023-06-05,45,2394.822222222222,107767
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340073_FIP2_20230605_120146/FPWW0340073_FIP2_20230605_120146_filtered_results.csv,FPWW0340,073,2023-06-05,39,2577.128205128205,100508
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340130_FIP2_20230605_120749/FPWW0340130_FIP2_20230605_120749_filtered_results.csv,FPWW0340,130,2023-06-05,49,2698.285714285714,132216
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340123_FIP2_20230605_120411/FPWW0340123_FIP2_20230605_120411_filtered_results.csv,FPWW0340,123,2023-06-05,56,2797.5535714285716,156663
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340347_FIP2_20230605_123208/FPWW0340347_FIP2_20230605_123208_filtered_results.csv,FPWW0340,347,2023-06-05,25,2451.72,61293
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340153_FIP2_20230605_120927/FPWW0340153_FIP2_20230605_120927_filtered_results.csv,FPWW0340,153,2023-06-05,30,2491.5,74745
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340363_FIP2_20230605_123425/FPWW0340363_FIP2_20230605_123425_filtered_results.csv,FPWW0340,363,2023-06-05,43,2731.0697674418607,117436
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340183_FIP2_20230605_121415/FPWW0340183_FIP2_20230605_121415_filtered_results.csv,FPWW0340,183,2023-06-05,39,3058.897435897436,119297
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340416_FIP2_20230605_123853/FPWW0340416_FIP2_20230605_123853_filtered_results.csv,FPWW0340,416,2023-06-05,1,2557.0,2557
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340168_FIP2_20230605_121156/FPWW0340168_FIP2_20230605_121156_filtered_results.csv,FPWW0340,168,2023-06-05,71,3044.1830985915494,216137
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340348_FIP2_20230605_123202/FPWW0340348_FIP2_20230605_123202_filtered_results.csv,FPWW0340,348,2023-06-05,39,3817.948717948718,148900
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340329_FIP2_20230605_123009/FPWW0340329_FIP2_20230605_123009_filtered_results.csv,FPWW0340,329,2023-06-05,74,3153.5135135135133,233360
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340422_FIP2_20230605_123933/FPWW0340422_FIP2_20230605_123933_filtered_results.csv,FPWW0340,422,2023-06-05,18,2755.1111111111113,49592
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340427_FIP2_20230605_124007/FPWW0340427_FIP2_20230605_124007_filtered_results.csv,FPWW0340,427,2023-06-05,13,3257.076923076923,42342
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340298_FIP2_20230605_122532/FPWW0340298_FIP2_20230605_122532_filtered_results.csv,FPWW0340,298,2023-06-05,48,2979.9791666666665,143039
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340093_FIP2_20230605_120332/FPWW0340093_FIP2_20230605_120332_filtered_results.csv,FPWW0340,093,2023-06-05,34,2103.294117647059,71512
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340286_FIP2_20230605_122251/FPWW0340286_FIP2_20230605_122251_filtered_results.csv,FPWW0340,286,2023-06-05,59,3015.508474576271,177915
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340037_FIP2_20230605_115738/FPWW0340037_FIP2_20230605_115738_filtered_results.csv,FPWW0340,037,2023-06-05,39,3383.7179487179487,131965
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340394_FIP2_20230605_123459/FPWW0340394_FIP2_20230605_123459_filtered_results.csv,FPWW0340,394,2023-06-05,65,1830.7846153846153,119001
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340230_FIP2_20230605_121659/FPWW0340230_FIP2_20230605_121659_filtered_results.csv,FPWW0340,230,2023-06-05,43,3564.5581395348836,153276
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340301_FIP2_20230605_122511/FPWW0340301_FIP2_20230605_122511_filtered_results.csv,FPWW0340,301,2023-06-05,30,3185.4666666666667,95564
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340281_FIP2_20230605_122324/FPWW0340281_FIP2_20230605_122324_filtered_results.csv,FPWW0340,281,2023-06-05,53,2325.735849056604,123264
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340147_FIP2_20230605_121008/FPWW0340147_FIP2_20230605_121008_filtered_results.csv,FPWW0340,147,2023-06-05,46,3355.7608695652175,154365
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340255_FIP2_20230605_122216/FPWW0340255_FIP2_20230605_122216_filtered_results.csv,FPWW0340,255,2023-06-05,47,3229.659574468085,151794
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340397_FIP2_20230605_123841/FPWW0340397_FIP2_20230605_123841_filtered_results.csv,FPWW0340,397,2023-06-05,56,3357.3571428571427,188012
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340078_FIP2_20230605_120112/FPWW0340078_FIP2_20230605_120112_filtered_results.csv,FPWW0340,078,2023-06-05,60,2819.5,169170
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340271_FIP2_20230605_122433/FPWW0340271_FIP2_20230605_122433_filtered_results.csv,FPWW0340,271,2023-06-05,52,3344.519230769231,173915
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340244_FIP2_20230605_121931/FPWW0340244_FIP2_20230605_121931_filtered_results.csv,FPWW0340,244,2023-06-05,51,2620.0196078431372,133621
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340038_FIP2_20230605_115730/FPWW0340038_FIP2_20230605_115730_filtered_results.csv,FPWW0340,038,2023-06-05,40,3300.3,132012
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340408_FIP2_20230605_123725/FPWW0340408_FIP2_20230605_123725_filtered_results.csv,FPWW0340,408,2023-06-05,72,2688.1944444444443,193550
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340170_FIP2_20230605_121143/FPWW0340170_FIP2_20230605_121143_filtered_results.csv,FPWW0340,170,2023-06-05,35,2183.4285714285716,76420
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340223_FIP2_20230605_121750/FPWW0340223_FIP2_20230605_121750_filtered_results.csv,FPWW0340,223,2023-06-05,17,2416.1176470588234,41074
