file,plot.UID,plot_nr,timestamp,spike_count,volume_mean,volume_sum,unique
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340096_FIP2_20230605_120312/FPWW0340096_FIP2_20230605_120312_filtered_results.csv,FPWW0340,96,2023-06-05,35,2400.3714285714286,84013,FPWW0340096_FIP2_20230605_120312
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340192_FIP2_20230605_121315/FPWW0340192_FIP2_20230605_121315_filtered_results.csv,FPWW0340,192,2023-06-05,49,3268.387755102041,160151,FPWW0340192_FIP2_20230605_121315
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340200_FIP2_20230605_121619/FPWW0340200_FIP2_20230605_121619_filtered_results.csv,FPWW0340,200,2023-06-05,59,3084.271186440678,181972,FPWW0340200_FIP2_20230605_121619
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340206_FIP2_20230605_121541/FPWW0340206_FIP2_20230605_121541_filtered_results.csv,FPWW0340,206,2023-06-05,39,2281.2820512820517,88970,FPWW0340206_FIP2_20230605_121541
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340164_FIP2_20230605_121222/FPWW0340164_FIP2_20230605_121222_filtered_results.csv,FPWW0340,164,2023-06-05,57,3076.035087719298,175334,FPWW0340164_FIP2_20230605_121222
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340185_FIP2_20230605_121401/FPWW0340185_FIP2_20230605_121401_filtered_results.csv,FPWW0340,185,2023-06-05,56,3214.535714285714,180014,FPWW0340185_FIP2_20230605_121401
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340214_FIP2_20230605_121447/FPWW0340214_FIP2_20230605_121447_filtered_results.csv,FPWW0340,214,2023-06-05,36,2169.527777777778,78103,FPWW0340214_FIP2_20230605_121447
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340287_FIP2_20230605_122242/FPWW0340287_FIP2_20230605_122242_filtered_results.csv,FPWW0340,287,2023-06-05,58,2714.9827586206898,157469,FPWW0340287_FIP2_20230605_122242
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340121_FIP2_20230605_120442/FPWW0340121_FIP2_20230605_120442_filtered_results.csv,FPWW0340,121,2023-06-05,43,3530.860465116279,151827,FPWW0340121_FIP2_20230605_120442
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340124_FIP2_20230605_120405/FPWW0340124_FIP2_20230605_120405_filtered_results.csv,FPWW0340,124,2023-06-05,41,3823.390243902439,156759,FPWW0340124_FIP2_20230605_120405
