exp_UID,plot_UID,gen_id,genotype_name,lot,range_lot,row_lot,plot,plant_id,plant_UID,set
FPWW034,FPWW0340107,466,PONCIONE,1,3,6,107,8,FPWW0340107_8,SFE
FPWW034,FPWW0340107,466,PONCIONE,1,3,6,107,9,FPWW0340107_9,SFE
FPWW034,FPWW0340107,466,PONCIONE,1,3,6,107,10,FPWW0340107_10,SFE
FPWW034,FPWW0340110,19111795,CIAN,1,3,7,110,1,FPWW0340110_1,SFE
FPWW034,FPWW0340110,19111795,CIAN,1,3,7,110,2,FPWW0340110_2,SFE
FPWW034,FPWW0340110,19111795,CIAN,1,3,7,110,3,FPWW0340110_3,SFE
FPWW034,FPWW0340110,19111795,CIAN,1,3,7,110,4,FPWW0340110_4,SFE
FPWW034,FPWW0340110,19111795,CIAN,1,3,7,110,5,FPWW0340110_5,SFE
FPWW034,FPWW0340110,19111795,CIAN,1,3,7,110,6,FPWW0340110_6,SFE
FPWW034,FPWW0340110,19111795,CIAN,1,3,7,110,7,FPWW0340110_7,SFE
FPWW034,FPWW0340110,19111795,CIAN,1,3,7,110,8,FPWW0340110_8,SFE
FPWW034,FPWW0340110,19111795,CIAN,1,3,7,110,9,FPWW0340110_9,SFE
FPWW034,FPWW0340110,19111795,CIAN,1,3,7,110,10,FPWW0340110_10,SFE
FPWW034,FPWW0340143,592,Skyfall,1,3,8,143,1,FPWW0340143_1,SFE
FPWW034,FPWW0340143,592,Skyfall,1,3,8,143,2,FPWW0340143_2,SFE
FPWW034,FPWW0340143,592,Skyfall,1,3,8,143,3,FPWW0340143_3,SFE
FPWW034,FPWW0340143,592,Skyfall,1,3,8,143,4,FPWW0340143_4,SFE
FPWW034,FPWW0340143,592,Skyfall,1,3,8,143,5,FPWW0340143_5,SFE
FPWW034,FPWW0340143,592,Skyfall,1,3,8,143,6,FPWW0340143_6,SFE
FPWW034,FPWW0340143,592,Skyfall,1,3,8,143,7,FPWW0340143_7,SFE
FPWW034,FPWW0340143,592,Skyfall,1,3,8,143,8,FPWW0340143_8,SFE
FPWW034,FPWW0340143,592,Skyfall,1,3,8,143,9,FPWW0340143_9,SFE
FPWW034,FPWW0340143,592,Skyfall,1,3,8,143,10,FPWW0340143_10,SFE
FPWW034,FPWW0340146,372,Sperber,1,3,9,146,1,FPWW0340146_1,SFH
FPWW034,FPWW0340146,372,Sperber,1,3,9,146,2,FPWW0340146_2,SFH
FPWW034,FPWW0340146,372,Sperber,1,3,9,146,3,FPWW0340146_3,SFH
FPWW034,FPWW0340146,372,Sperber,1,3,9,146,4,FPWW0340146_4,SFH
FPWW034,FPWW0340146,372,Sperber,1,3,9,146,5,FPWW0340146_5,SFH
FPWW034,FPWW0340146,372,Sperber,1,3,9,146,6,FPWW0340146_6,SFH
