"exp_UID","plot_UID","gen_id","genotype_name","lot","range_lot","row_lot","plot","plant_id","plant_UID","set","unique"
"FPWW036","FPWW0360292",583,"Aurelius",3,5,17,292,2,"FPWW0360292_2","SFE","C52"
"FPWW036","FPWW0360292",583,"Aurelius",3,5,17,292,3,"FPWW0360292_3","SFE","C53"
"FPWW036","FPWW0360292",583,"Aurelius",3,5,17,292,4,"FPWW0360292_4","SFE","C54"
"FPWW036","FPWW0360292",583,"Aurelius",3,5,17,292,5,"FPWW0360292_5","SFE","C55"
"FPWW036","FPWW0360292",583,"Aurelius",3,5,17,292,6,"FPWW0360292_6","SFE","C56"
"FPWW036","FPWW0360292",583,"Aurelius",3,5,17,292,7,"FPWW0360292_7","SFE","C57"
"FPWW036","FPWW0360292",583,"Aurelius",3,5,17,292,8,"FPWW0360292_8","SFE","C58"
"FPWW036","FPWW0360292",583,"Aurelius",3,5,17,292,9,"FPWW0360292_9","SFE","C59"
"FPWW036","FPWW0360292",583,"Aurelius",3,5,17,292,10,"FPWW0360292_10","SFE","C60"
"FPWW036","FPWW0360330",544,"AXEN",3,7,19,330,1,"FPWW0360330_1","SFE","C61"
"FPWW036","FPWW0360330",544,"AXEN",3,7,19,330,2,"FPWW0360330_2","SFE","C62"
"FPWW036","FPWW0360330",544,"AXEN",3,7,19,330,3,"FPWW0360330_3","SFE","C63"
"FPWW036","FPWW0360330",544,"AXEN",3,7,19,330,4,"FPWW0360330_4","SFE","C64"
"FPWW036","FPWW0360330",544,"AXEN",3,7,19,330,5,"FPWW0360330_5","SFE","C65"
"FPWW036","FPWW0360330",544,"AXEN",3,7,19,330,6,"FPWW0360330_6","SFE","C66"
"FPWW036","FPWW0360330",544,"AXEN",3,7,19,330,7,"FPWW0360330_7","SFE","C67"
"FPWW036","FPWW0360330",544,"AXEN",3,7,19,330,8,"FPWW0360330_8","SFE","C68"
"FPWW036","FPWW0360330",544,"AXEN",3,7,19,330,9,"FPWW0360330_9","SFE","C69"
"FPWW036","FPWW0360330",544,"AXEN",3,7,19,330,10,"FPWW0360330_10","SFE","C70"
"FPWW036","FPWW0360327",29410465,"BALBALERA",3,4,19,327,1,"FPWW0360327_1","SFE","C71"
"FPWW036","FPWW0360327",29410465,"BALBALERA",3,4,19,327,2,"FPWW0360327_2","SFE","C72"
"FPWW036","FPWW0360327",29410465,"BALBALERA",3,4,19,327,3,"FPWW0360327_3","SFE","C73"
"FPWW036","FPWW0360327",29410465,"BALBALERA",3,4,19,327,4,"FPWW0360327_4","SFE","C74"
"FPWW036","FPWW0360327",29410465,"BALBALERA",3,4,19,327,5,"FPWW0360327_5","SFE","C75"
"FPWW036","FPWW0360327",29410465,"BALBALERA",3,4,19,327,6,"FPWW0360327_6","SFE","C76"
"FPWW036","FPWW0360327",29410465,"BALBALERA",3,4,19,327,7,"FPWW0360327_7","SFE","C77"
"FPWW036","FPWW0360327",29410465,"BALBALERA",3,4,19,327,8,"FPWW0360327_8","SFE","C78"
"FPWW036","FPWW0360327",29410465,"BALBALERA",3,4,19,327,9,"FPWW0360327_9","SFE","C79"
"FPWW036","FPWW0360327",29410465,"BALBALERA",3,4,19,327,10,"FPWW0360327_10","SFE","C80"
"FPWW036","FPWW0360309",451,"BARETTA",3,17,18,309,1,"FPWW0360309_1","SFE","C81"
